index,session,burst,frequency_hz,timestamp_ms,timing_count,duration_us,rssi_dbm,truncated,first_level,decode_guess,timings_us
1,6,55,433050000,,92,419834,,0,1,"Possible PWM/PPM framing, but confidence is low. Candidate bits: 0????0?0?0?0?0???0???1?1?1?11?1?0?0??0?0?0???0",326 9732 68 28 170 9676 320 9650 326 9710 320 9750 262 9630 366 9782 228 9674 296 9844 162 9638 302 9742 298 9682 292 9734 326 9634 300 9688 334 9654 300 9804 160 68 9694 296 9680 264 9842 228 9676 294 9820 226 9728 264 9876 30 9724 196 9810 288 9786 256 9620 294 9764 30 302 9600 306 9840 230 9662 294 9774 260 220 30 9386 260 9866 264 9688 294 9854 62 9704 298 9786 262 9658 130 34 242 66 70 19430
2,6,56,433050000,,417,1242064,,0,1,"Possible PWM/PPM framing, but confidence is low. Candidate bits: ????????????????????????????????????????????????????????????????",372 9622 356 9680 296 9664 326 9694 336 9686 316 9726 268 32 9674 300 202 68 9372 366 9630 386 9610 336 9640 356 9612 322 30 9674 324 9738 268 9672 364 9636 358 9642 352 9674 326 9620 402 9580 328 9706 326 9696 328 9654 332 9626 408 9614 328 9626 360 9682 330 9646 336 9688 326 9666 326 9638 372 9620 338 9702 360 9672 326 9632 306 9694 338 9656 362 9646 328 9668 332 9630 356 9662 294 9690 336 9658 370 9672 298 9632 352 9646 422 9564 358 9644 354 9632 368 9618 368 9658 328 9690 326 9658 360 9628 366 310 46 9252 406 9604 368 9650 356 9614 400 9614 348 9656 326 9636 364 32 9616 370 9636 364 9620 366 9638 372 9648 366 9636 372 9556 390 9636 372 9616 358 9644 390 202 32 9396 324 9698 330 9632 370 9640 334 208 70 9360 398 9578 390 9612 396 194 64 192 62 30 162 64 66 98 98 98 1206 7218 400 166 62 130 64 390 68 92 96 8596 358 9672 298 9680 334 9644 358 9644 354 9624 348 9630 370 9720 266 9604 30 364 9638 388 9624 348 9638 332 9672 360 9676 300 9668 366 9580 388 9632 354 9678 304 9670 328 9672 290 9702 364 9650 338 9626 360 9634 394 9622 336 340 10 34 9286 322 9632 366 9672 340 9642 328 9682 362 9626 356 9648 374 9592 354 4028 478 370 394 390 392 432 380 378 398 414 380 434 348 432 384 404 378 434 384 418 358 432 386 5218 768 422 796 420 368 812 774 412 772 444 354 806 784 408 792 420 358 868 758 422 774 420 770 406 376 816 802 418 764 410 398 816 368 810 370 840 370 848 764 402 762 444 776 426 754 418 384 808 780 420 386 830 348 844 776 424 376 828 758 426 378 796 392 814 384 788 380 868 754 414 782 418 346 850 342 822 378 870 334 826 762 476 340 850 346 822 780 424 334 846 402 818 336 838 370 812 380 852 360 814 374 840 750 426 380 800 782 424 784 440 342 816 796 412 796 400 784 446 758 426 762 442 752 420 762 412 412 810 780 442 344 25642
3,6,57,433050000,,156,118094,,0,1,"Sync/pulse-width frame detected. Sync 5222 us, symbols ~398/797 us, 65 bits. Bits: 11011011011101100001111010010100001100001001000000010110111111101 Hex: DB761E94309016FE (confidence 100%)",460 350 432 356 436 380 408 386 416 388 406 386 414 388 412 414 360 438 356 416 398 418 356 5222 760 450 766 402 412 778 794 408 802 420 366 824 786 376 802 402 414 804 758 424 796 414 760 428 364 816 768 460 750 442 382 822 356 826 378 794 416 804 762 426 794 440 752 384 818 390 384 816 766 434 380 802 374 834 770 412 414 788 752 460 346 852 338 858 358 822 376 810 768 438 772 436 346 820 382 820 380 812 376 846 748 412 378 808 384 838 740 446 352 874 342 850 366 782 382 820 388 794 410 822 376 816 788 416 364 798 794 408 804 406 354 810 814 408 778 412 784 408 780 416 768 446 782 382 792 406 406 812 756 472 336 25638
4,6,58,433050000,,156,168398,,0,1,"Sync/pulse-width frame detected. Sync 5234 us, symbols ~398/797 us, 65 bits. Bits: 11011011011101100001111010010100001100001001000000010110111111101 Hex: DB761E94309016FE (confidence 100%)",422 406 402 380 406 402 394 400 418 418 370 384 418 398 374 422 422 364 392 426 354 430 388 5234 762 418 768 406 402 818 752 442 780 430 338 840 796 400 790 382 386 834 784 440 746 414 792 376 428 790 794 380 812 446 320 834 376 820 366 818 382 826 776 458 722 460 768 406 780 406 354 852 788 408 374 818 410 780 796 424 416 772 778 420 382 828 372 818 364 808 404 810 784 400 784 428 378 798 392 800 378 832 362 846 764 442 362 806 382 818 776 388 430 814 360 822 380 826 378 820 380 794 384 816 376 838 752 430 364 814 802 404 780 412 396 822 774 416 784 384 824 390 758 436 752 458 764 410 770 444 352 828 770 440 350 75916
5,6,59,433050000,,154,699426,,0,1,Candidate short/long decode found. Bits: 0000000000000000000000?111111?11111111????11111111?1110000000000 Hex: 000001FBFC3FDC00 (confidence 89%),328 9674 384 9642 354 9614 374 9664 296 9654 384 9632 368 9626 328 9658 360 9646 376 9624 374 9580 354 9676 354 9630 388 9620 368 9640 340 9680 324 9634 376 9644 334 9638 406 9582 364 9644 366 9608 370 32 9604 360 9630 384 9608 402 9602 406 9600 386 9598 386 192 64 9346 402 9604 408 9566 398 9618 378 9624 378 9636 370 9580 390 9638 388 190 64 128 96 64 64 848 30 8126 356 9610 374 9630 400 9614 354 9624 408 9598 376 9618 350 9658 374 202 32 9376 348 9642 338 9650 32 398 9592 364 9654 328 9640 392 9640 352 9616 368 9678 302 9640 362 9626 400 9622 356 9634 352 9628 372 9618 354 9660 348 9648 352 9644 360 9666 290 9684 392 9608 304 9632 392 9634 374 9672 326 4200 460 14660
6,6,60,433050000,,123,103098,,0,1,"Possible PWM/PPM framing, but confidence is low. Candidate bits: ?????????????????????????????????????????????????????????????",64 696 98 2366 10 28 7480 98 1022 100 814 436 632 226 934 370 128 134 548 676 454 344 910 290 910 332 816 362 814 758 450 748 458 744 472 720 482 342 816 772 448 314 886 332 846 752 448 370 816 794 388 352 832 414 778 412 802 364 812 804 404 788 424 352 844 378 810 356 838 376 808 766 428 412 804 362 832 784 410 370 820 364 814 404 808 362 850 372 818 368 810 366 816 786 448 358 842 770 420 748 406 368 844 802 398 762 428 798 400 780 406 804 422 760 416 776 438 352 842 756 410 414 25608
7,6,61,433050000,,156,118168,,0,1,"Sync/pulse-width frame detected. Sync 5206 us, symbols ~399/797 us, 65 bits. Bits: 11011011011101100001111010010100001100001001000000010110111111101 Hex: DB761E94309016FE (confidence 100%)",442 394 368 446 356 416 354 470 360 402 392 440 394 380 368 442 356 442 362 434 388 378 400 5206 820 378 788 396 416 798 778 414 786 416 376 834 740 468 746 412 410 802 780 386 820 386 776 418 428 806 768 400 784 418 362 834 382 814 352 832 382 834 778 402 794 418 756 420 768 436 386 798 798 408 382 818 380 830 736 476 340 820 786 422 350 838 380 810 410 796 382 826 780 404 776 408 420 798 354 832 378 810 390 798 778 406 410 810 378 832 770 412 420 792 346 822 386 810 406 810 360 832 382 802 382 816 786 402 386 848 764 416 758 416 378 822 796 396 786 406 772 462 766 398 788 404 788 424 748 416 402 820 774 430 382 25650
8,6,62,433050000,,156,178234,,0,1,"Sync/pulse-width frame detected. Sync 5224 us, symbols ~399/795 us, 65 bits. Bits: 11011011011101100001111010010100001100001001000000010110111111101 Hex: DB761E94309016FE (confidence 100%)",416 420 374 392 398 398 364 428 400 422 372 448 338 442 366 436 356 418 394 408 378 414 394 5224 748 408 782 446 380 786 794 420 772 402 376 828 772 438 784 414 374 800 808 386 792 416 788 390 420 832 742 418 770 408 402 814 376 838 346 818 384 840 770 414 784 408 776 422 764 442 368 816 770 410 386 814 382 814 782 414 414 786 772 422 378 824 382 816 374 834 360 830 762 416 800 388 386 830 390 824 388 816 362 826 794 390 382 810 400 818 758 444 416 766 382 830 346 834 378 836 344 840 354 820 386 818 782 414 416 778 746 488 722 442 372 826 768 412 770 416 806 410 762 422 802 416 778 416 770 440 380 820 728 440 386 85732
9,6,63,433050000,,162,688778,,0,1,Candidate short/long decode found. Bits: 000000?0000?000000????00000000?111111111111111100000000000??0000 Hex: 00000001FFFE0000 (confidence 86%),328 9628 368 9636 326 9678 328 9612 394 9646 330 9624 324 224 30 9442 420 9602 338 9670 326 9660 342 206 34 9414 326 9660 362 9584 336 9674 360 9710 324 9638 340 174 64 280 32 140 64 96 34 8772 330 9616 394 9636 332 9692 334 9644 328 9664 328 9688 364 9634 330 30 9644 328 9672 268 9768 302 9612 390 9600 388 9598 406 9570 360 9690 362 9610 396 9650 334 9632 372 9676 326 9638 386 9602 304 9674 366 9580 32 372 9654 362 9662 332 9614 390 9616 372 9630 332 9668 334 9640 368 9618 388 9614 354 9662 366 9596 364 188 64 278 30 9118 336 9670 328 9664 362 9602 416 9610 328 9682 360 9606 382 9596 370 218 28 9364 392 9622 358 9664 424 9576 356 9624 360 9658 376 9604 358 230 132 230 36 8994 358 2718 422 15598
10,6,64,433050000,,131,102168,,0,1,"Sync/pulse-width frame detected. Sync 3180 us, symbols ~398/795 us, 59 bits. Bits: 01011101100001111010010100001100001001000000001110111111110 Hex: 5D87A50C2403BF (confidence 100%)",66 36 3180 34 674 534 226 898 64 242 400 538 682 484 306 880 718 480 746 408 30 738 482 316 856 734 466 740 446 342 880 320 866 344 850 352 810 774 442 742 442 768 432 754 460 344 826 780 434 378 804 394 798 778 410 376 836 754 416 380 818 388 810 378 818 354 834 806 418 752 414 386 814 386 794 410 802 382 816 806 422 370 782 378 832 790 420 354 832 376 816 380 816 380 792 394 824 372 800 396 796 406 776 828 398 782 390 794 438 358 826 778 414 770 440 770 424 758 408 790 394 826 378 794 394 794 414 402 788 424 25614
